index,lab,univ,name
143,공연음악예술학부 유현식 교수 연구실,성결대학교,유현식 교수
144,조형예술학 전공 유현정 교수 연구실,이화여자대학교,유현정 교수
145,EDT Lab,포항공과대학교,유희천 교수
146,소프트웨어학과 윤경현 교수 연구실,중앙대학교,윤경현 교수
147,소프트웨어학과 윤대균 교수 연구실,아주대학교,윤대균 교수
148,HIS Lab,서울대학교,윤명환 교수
149,SGVR Lab,KAIST(한국과학기술원),윤성의 교수
150,인터랙션디자인전공 윤재영 교수 연구실,홍익대학교,윤재영 교수
151,Intelligent Medical Robotics Lab,GIST (광주과학기술원),윤정원 교수
152,산업융합시스템공학부 윤주상 교수 연구실,동의대학교,윤주상 교수
153,HCIDL,KAIST (한국과학기술원),이건표 교수
154,ID Lab,아주대학교,이경원 교수
155,융합교양대학 이국희 교수 연구실,경기대학교,이국희 교수
156,KAIST HCI LAB,KAIST (한국과학기술원),이기혁 교수
157,인공지능융합학과 이대호 교수 연구실,성균관대학교,이대호 교수
158,CATSNU,서울대학교,이돈응 교수
159,CDSN Lab,KAIST (한국과학기술원),이동만 교수
160,게임디자인학과 이동엽 교수 연구실,공주대학교,이동엽 교수
161,KIRC,KAIST(한국과학기술원),이문용 교수
162,X-Lab,한국산업기술대학교,이문환 교수
163,IML,KAIST (한국과학기술원),이병주 교수
164,미디어기술콘텐츠학과 이상국 교수 연구실,가톨릭대학교,이상국 교수
165,비전 그래픽스 연구실,서강대학교,이상욱 교수
166,Digital Media Lab,연세대학교,이상원 교수
167,ID square Lab,성균관대학교,이상원 교수
168,ISRI,성균관대학교,이석한 교수
169,빅데이터학과 이선우 교수 연구실,한림대학교,이선우 교수
170,CG Lab,성균관대학교,이성길 교수
171,U2X Design Lab,성균관대학교,이성일 교수
172,Intermedia Lab,상명대학교,이승연 교수
173,Computer graphics lab,포항공과대학교,이승용 교수
174,Convergence Display System Lab,경희대학교,이승우 교수
175,시각디자인학과 이연준 교수 연구실,홍익대학교,이연준 교수
176,MNU UVR Lab,목포대학교,이영호 교수
177,컴퓨터 네트워크 연구실,KAIST (한국과학기술원),이영희 교수
178,컴퓨터/소프트웨어공학과 이용주 교수 연구실,원광대학교,이용주 교수
179,iCRC,숭실대학교,이원철 교수
180,콘텐츠융합디자인학부 이은종 교수 연구실,한동대학교,이은종 교수
181,Interactive Computing Lab,KAIST (한국과학기술원),이의진 교수
182,Pattern Recognition Laboratory,상명대학교,이의철 교수
183,융합시스템학과 이재환 교수 연구실,한양대학교,이재환 교수
184,SID Lab,SMIT (서울미디어대학원대학교),이정연 교수
185,Mixed Reality & Interaction Lab,세종대학교,이종원 교수
186,인공지능 컴퓨터 진단 연구실,계명대학교,이종하 교수
187,Interaction Lab,SMIT (서울미디어대학원대학교),이주환 교수
188,hci+d Lab,서울대학교,이준환 교수
189,산업디자인학과 이중섭 교수 연구실,한동대학교,이중섭 교수
190,UX Lab,서울대학교,이중식 교수
191,스마트시티공학과 이중호 교수 연구실,영산대학교,이중호 교수
192,i-Lab,연세대학교,이지연 교수
193,IBD,KAIST (한국과학기술원),이지현 교수
194,UXDL,서울여자대학교,이지현 교수
195,MIM Lab,고려대학교,이태일 교수
196,디자인컨버전스학부 이현진 교수 연구실,홍익대학교,이현진 교수
197,커뮤니케이션 대학원 이현진 교수 연구실,연세대학교,이현진 교수
198,소프트웨어학과 이환용 교수 연구실,아주대학교,이환용 교수
199,DECS Lab,UNIST (울산과학기술원),이희승 교수
200,WICE Lab,건국대학교,이희연 교수
201,기계시스템디자인공학과 임덕신 교수 연구실,홍익대학교,임덕신 교수
202,CCS Lab,건국대학교,임민규 교수
203,Media Interface Lab,숙명여자대학교,임순범 교수
204,CIxD Lab,KAIST (한국과학기술원),임윤경 교수
205,Sogang Computer Graphics Lab,서강대학교,임인성 교수
206,전기공학과 장경배 교수 연구실,고려사이버대학교,장경배 교수
207,데이터 시각화 연구실,세종대학교,장윤 교수
208,WICE Lab,건국대학교,장현국 교수
209,Haptics & Virtual Reality Lab,경희대학교,전석희 교수
210,GIST Bio computing,GIST (광주과학기술원),전성찬 교수
211,BMIPL,UNIST (울산과학기술원),전세영 교수
212,커뮤니케이션 대학원 전수진 교수 연구실,연세대학교,전수진 교수
213,휴먼ICT연계전공 전준현 교수 연구실,건국대학교,전준현 교수
214,UBIA Lab,SMIT (서울미디어대학원대학교),전지윤 교수
215,산업경영공학전공 정기효 교수 연구실,울산대학교,정기효 교수
216,Comm. & Tech. Lab,광운대학교,정동훈 교수
217,SOGANG AIMEDIA LAB,서강대학교,정문열 교수
218,기계디자인금형공학과 정성원 교수 연구실,서울과학기술대학교,정성원 교수
219,Virtual Reality Lab,경북대학교,정순기 교수
220,나노IT디자인융합대학원 정연찬 교수 연구실,서울과학기술대학교,정연찬 교수
221,CI Lab,금오공과대학교,정유철 교수
222,산업융합학과 정은주 교수 연구실,한양대학교,정은주 교수
223,HCID Lab,서울대학교,정의철 교수
224,모바일융합학과 정지훈 교수 연구실,경희사이버대학교,정지훈 교수
225,Interaction Lab,금오공과대학교,정진우 교수
226,분산전력시스템 및 전력변환응용 연구실,동국대학교,정진우 교수
227,HCAIL,서울시립대학교,정형구 교수
228,심리학과 정혜선 교수 연구실,한림대학교,정혜선 교수
229,Biorobotics Lab,서울대학교,조규진 교수
230,소프트웨어학과 조대수 교수 연구실,동서대학교,조대수 교수
231,H-Lab,성균관대학교,조준동 교수
232,AI Design Lab,국민대학교,주다영 교수
233,HFIDL,연세대학교,지용구 교수
234,신문방송학전공 진보래 교수 연구실,중부대학교,진보래 교수
235,모바일 임베디드 시스템 연구실,연세대학교,차호정 교수
236,소프트웨어학과 최광남 교수 연구실,중앙대학교,최광남 교수
237,AI Service Design Lab,성신여자대학교,최민영 교수
238,AMCL,고려대학교,최병호 교수
239,미디어학부 최세정 교수 연구실,고려대학교,최세정 교수
240,GVR Lab,세종대학교,최수미 교수
241,Interaction Laboratory,포항공과대학교,최승문 교수
242,HCI Lab,가천대학교,최아영 교수
243,Lifestyle Media,서강대학교,최용순 교수
244,VCAR Lab,SMIT (서울미디어대학원대학교),최유주 교수
245,지능형 시스템공학 연구실,성균관대학교,최재붕 교수
246,소프트웨어학과 최재영 교수 연구실,아주대학교,최재영 교수
247,PUXD Lab,서울과학기술대학교,최정민 교수
248,연세대학교 AI & 모빌리티 UX 연구실,연세대학교,최준호 교수
249,ICT융합공학부 탁계래 교수 연구실,건국대학교,탁계래 교수
250,인터랙션디자인랩,한밭대학교,하광수 교수
251,Ajou Human-Computer Interaction Lab,아주대학교,한경식 교수
252,Cognitive Engineering Lab,연세대학교,한광희 교수
253,영상처리연구실,세종대학교,한동일 교수
254,Brain Cognition of Memory and Decision-making,연세대학교,한상훈 교수
255,시각디자인학과 한영애 교수 연구실,연세대학교,한영애 교수
256,미디어커뮤니케이션학과 한은경 교수 연구실,성균관대학교,한은경 교수
257,Media Lab,고려대학교,한정현 교수
258,Media System,연세대학교,한탁돈 교수
259,증강휴먼랩,국민대학교,허정윤 교수
260,스포츠과학부 허정훈 교수 연구실,중앙대학교,허정훈 교수
261,휴먼컴퓨터연구실,성균관대학교,홍광석 교수
262,DxD Lab,서울대학교,홍화정 교수
263,감성 콘텐츠 기술 연구소,상명대학교,황민철 교수
264,CGV Lab,한동대학교,황성수 교수
265,MAKinteract Lab,KAIST(한국과학기술원),Andrea Bianchi 교수
266,Interactions Lab,UNIST (울산과학기술원),Ian Oakley 교수
267,Agents And Robotic Transportation Lab,UNIST(울산과학기술원),Tsz-Chiu Au 교수
295,디자인대학원 김병욱 교수 연구실,조선대학교,김병욱 교수
319,지능형 인터랙션 디자인 연구실,홍익대학교,김재엽 교수
345,AI & ARVR Media Lab,이화여자대학교,남양희 교수
380,대규모 병렬 컴퓨팅 연구실,경북대학교,백낙훈 교수
396,산업디자인학과 신재욱 교수 연구실,동아대학교,신재욱 교수
426,intermedia lab,서울대학교,윤주현 교수
439,디자인학부 이상선 교수 연구실,국립한경대학교,이상선 교수
447,Motion Computing Lab,KAIST (한국과학기술원),이성희 교수
459,인간시스템디자인공학과 이재인 교수 연구실,동의대학교,이재인 교수
462,전기전자컴퓨터공학부 이정헌 교수 연구실,경희대학교,이정헌 교수
473,지능영상미디어/인터페이스 연구실,전남대학교,이칠우 교수
475,산업디자인학과 이혁수 교수 연구실,한국교통대학교,이혁수 교수
481,실내건축학과 임경란 교수 연구실,숭실대학교,임경란 교수
489,문헌정보학과 장윤금 교수 연구실,숙명여자대학교,장윤금 교수
547,Design Informatics & Technology Lab,서울시립대학교,황지은 교수
551,Next Interface Lab,KAIST(한국과학기술원),이상수 교수
